,,PEN AMERICA'S INDEX OF SCHOOL BOOK BANS,,,,,,,
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Scott, Ann Herbert",On Mother's Lap,,"Coalson, Glo",
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Bunting, Eve",One Green Apple,,"Lewin, Ted",
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Martin, Rafe",The Rough-Face Girl,,"Shannon, David",
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Lauture, Denize",Running the Road to ABC,,,
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Nyong'o, Lupita",Sulwe,,"Harrison, Vashti",
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Mitchell, Margaree King",Uncle Jed's Barber Shop,,"Ransome, James E.",
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Wells, Rosemary",Yoko (Yoko Series),,,
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Muth, Jon J.",Zen Shorts (Zen Series),,,
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Ewert, Marcus","10,000 Dresses",,"Ray, Rex",
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Deedy, Carmen Agra",14 Cows for America,"Naiyomah, Wilson Kimeli","Gonzalez, Thomas",
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Dorros, Arthur",Abuela,,"Kleven, Elisa",
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Gonzalez, Xelena",All Around Us,,"Garcia, Adriana M.",
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Martinez-Neal, Juana",Alma and How She Got Her Name,,,
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Kahn, Hena",Amina's Voice (Amina's Voice Series),,,
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"MacGill-Callahan, Sheila",And Still the Turtle Watched,,"Moser, Barry",
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Johnston, Tony",Any Small Goodness: A Novel of the Barrio,,"Colon, Raul",
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Dooley, Sarah",Ashes to Asheville,,,
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Moss, Marissa",Barbed Wire Baseball: How One Man Brought Hope to the Japanese Internment Camps of WWII,,"Shimizu, Yuko",
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Berenstain, Jan",The Berenstain Bears and the Big Question (The Berenstain Bears Series),"Berenstain, Stan",,
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Peck, Richard",The Best Man,,,
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Perkins, Mitali",Between Us and Abuela: A Family Story from the Border,,"Palacios, Sara",
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Khan, Rukhsana",Big Red Lollipop,,"Blackall, Sophie",
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Schlissel, Lillian",Black Frontiers: A History of African American Heroes in the Old West,,,
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Snyder, Dianne",The Boy of the Three-Year Nap,,"Say, Allen",
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Uchida,Yoshiko",The Bracelet,,"Yardley, Joanna",
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,Chief Seattle,"Brother Eagle, Sister Sky",,"Jeffers, Susan",
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Hopkinson, Deborah",Carter Reads the Newspaper,,"Tate, Don",
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Daemicke, Songju Ma",A Case of Sense,,"Bersani, Shennen",
Florida,Duval County Public Schools,Administrator,January 2022,Banned Pending Investigation,"Cavell-Clarke, Steffi",Celebrating Different Beliefs,,,
